,scanNumber,timesweep,status,I0,I1,conversion,tReaction,tRes
138,138,1,Timesweep,29.853,54.963,0.5431472081218275,986.0,18.22
139,139,1,Timesweep,30.017,55.538,0.5404767906658504,1003.0,18.36
140,140,1,Timesweep,30.791,55.873,0.5510890770139424,1020.0,18.5
141,141,1,Timesweep,30.812,55.747,0.5527113566649327,1037.0,18.64
142,142,1,Timesweep,30.476,55.477,0.5493447735097428,1054.0,18.78
143,143,1,Timesweep,30.18,55.259,0.5461553774045856,1071.0,18.92
144,144,1,Timesweep,30.01,55.637,0.5393892553516545,1088.0,19.07
145,145,1,Timesweep,29.823,55.526,0.5370997370601159,1105.0,19.21
146,146,1,Timesweep,30.271,55.344,0.5469608268285632,1122.0,19.35
147,147,1,Timesweep,29.857,55.564,0.5373443236628033,1139.0,19.49
148,148,1,Timesweep,30.019,55.329,0.5425545374035315,1156.0,19.63
149,149,1,Timesweep,30.062,55.32,0.5434201012292119,1173.0,19.77
