,scanNumber,timesweep,status,I0,I1,conversion,tReaction,tRes,Mn,Mw,D
71,71,1,No,43.497,55.054,0.20992116830747998,,,,,
72,72,1,No,43.62,55.445,0.21327441608801523,,,,,
73,73,1,No,42.71,54.844,0.2212457151192473,,,,,
74,74,1,No,42.883,54.806,0.2175491734481625,,,,,
75,75,1,No,42.416,55.146,0.23084176549523094,,,,,
76,76,1,No,41.867,54.936,0.23789500509684003,,,,,
77,77,1,No,41.65,54.732,0.2390192209310824,,,,,
78,78,1,No,41.389,54.816,0.24494673088149443,,,,,
79,79,1,No,40.449,55.012,0.26472406020504624,,,,,
80,80,1,Timesweep,40.728,54.972,0.2591137306265008,0.0,10.0,8420.0,8497.0,1.009
81,81,1,Timesweep,40.296,55.201,0.2700132243981087,17.0,10.1417,,,
82,82,1,Timesweep,39.175,54.742,0.2843703189507143,34.0,10.2833,,,
83,83,1,Timesweep,39.486,55.114,0.28355771673259067,51.0,10.425,,,
84,84,1,Timesweep,38.686,54.935,0.295785928824975,68.0,10.5667,,,
85,85,1,Timesweep,38.317,54.831,0.30117998942204227,85.0,10.7083,,,
86,86,1,Timesweep,38.356,54.836,0.30053249689984673,102.0,10.85,,,
87,87,1,Timesweep,37.808,54.925,0.31164314974965857,119.0,10.9917,,,
88,88,1,Timesweep,37.829,55.086,0.31327379007370293,136.0,11.1333,,,
89,89,1,Timesweep,36.942,55.082,0.3293271849242947,153.0,11.275,,,
90,90,1,Timesweep,37.245,55.2,0.32527173913043483,170.0,11.4167,,,
91,91,1,Timesweep,37.146,55.31,0.3284035436629904,187.0,11.5583,8420.0,8497.0,1.009
92,92,1,Timesweep,36.419,55.409,0.3427241061921349,204.0,11.7,,,
93,93,1,Timesweep,35.798,54.861,0.3474781721076903,221.0,11.8417,,,
94,94,1,Timesweep,36.222,55.003,0.34145410250349983,238.0,11.9833,,,
95,95,1,Timesweep,36.06,55.464,0.34984855041107743,255.0,12.125,,,
96,96,1,Timesweep,35.501,55.138,0.35614276905219633,272.0,12.2667,,,
97,97,1,Timesweep,35.747,55.434,0.35514305299996385,289.0,12.4083,,,
98,98,1,Timesweep,34.701,55.006,0.36914154819474243,306.0,12.55,,,
99,99,1,Timesweep,34.687,55.194,0.371544008406711,323.0,12.6917,,,
100,100,1,Timesweep,34.46,55.226,0.3760185419910911,340.0,12.8333,,,
101,101,1,Timesweep,33.899,54.966,0.38327329621948114,357.0,12.975,,,
102,102,1,Timesweep,33.627,54.761,0.3859315936524168,374.0,13.1167,8420.0,8497.0,1.009
103,103,1,Timesweep,34.007,55.277,0.3847893337192685,391.0,13.2583,,,
104,104,1,Timesweep,33.06,54.996,0.3988653720270565,408.0,13.4,,,
105,105,1,Timesweep,32.895,55.102,0.40301622445646246,425.0,13.5417,,,
106,106,1,Timesweep,32.864,54.842,0.40075124904270454,442.0,13.6833,,,
107,107,1,Timesweep,32.865,54.907,0.40144243903327437,459.0,13.825,,,
108,108,1,Timesweep,32.432,55.315,0.413685257163518,476.0,13.9667,,,
109,109,1,Timesweep,31.721,54.966,0.42289779136193284,493.0,14.1083,,,
110,110,1,Timesweep,31.839,54.89,0.4199489888868647,510.0,14.25,,,
111,111,1,Timesweep,31.52,55.088,0.4278245715945397,527.0,14.3917,,,
112,112,1,Timesweep,30.914,54.745,0.435309160653941,544.0,14.5333,,,
113,113,1,Timesweep,30.511,54.319,0.43829967414716775,561.0,14.675,8420.0,8497.0,1.009
114,114,1,Timesweep,30.884,54.887,0.43731666879224584,578.0,14.8167,,,
115,115,1,Timesweep,30.939,55.011,0.4375852102306812,595.0,14.9583,,,
116,116,1,Timesweep,30.973,54.986,0.4367111628414505,612.0,15.1,,,
117,117,1,Timesweep,30.945,54.962,0.4369746370219425,629.0,15.2417,,,
118,118,1,Timesweep,31.314,55.277,0.43350760714221104,646.0,15.3833,,,
119,119,1,Timesweep,30.465,55.191,0.44800782736315703,663.0,15.525,,,
120,120,1,Timesweep,31.051,55.233,0.4378179711404414,680.0,15.6667,,,
121,121,1,Timesweep,30.926,54.962,0.43732033041010154,697.0,15.8083,,,
122,122,1,Timesweep,30.994,55.482,0.44136837172416277,714.0,15.95,,,
123,123,1,Timesweep,30.728,55.024,0.44155277697004947,731.0,16.0917,,,
124,124,1,Timesweep,30.692,55.217,0.4441566908741873,748.0,16.2333,8420.0,8497.0,1.009
125,125,1,Timesweep,30.413,55.268,0.44971773901715284,765.0,16.375,,,
126,126,1,Timesweep,31.284,55.26,0.43387622149837135,782.0,16.5167,,,
127,127,1,Timesweep,31.06,55.375,0.43909706546275395,799.0,16.6583,,,
128,128,1,Timesweep,30.669,55.118,0.4435756014369172,816.0,16.8,,,
129,129,1,Timesweep,29.854,55.479,0.4618864795688459,833.0,16.9417,,,
130,130,1,Timesweep,30.959,55.331,0.44047640563156276,850.0,17.0833,,,
131,131,1,Timesweep,30.327,55.166,0.45025921763404986,867.0,17.225,,,
132,132,1,Timesweep,30.713,55.409,0.4457037665361223,884.0,17.3667,,,
133,133,1,Timesweep,30.321,55.45,0.45318304779080254,901.0,17.5083,,,
134,134,1,Timesweep,30.783,55.446,0.4448111676225517,918.0,17.65,,,
135,135,1,Timesweep,30.447,55.195,0.4483739469154815,935.0,17.7917,8420.0,8497.0,1.009
136,136,1,Timesweep,30.341,55.43,0.45262493234710444,952.0,17.9333,,,
137,137,1,Timesweep,30.574,55.323,0.44735462646638824,969.0,18.075,,,
138,138,1,Timesweep,29.853,54.963,0.4568527918781725,986.0,18.2167,,,
139,139,1,Timesweep,30.017,55.538,0.4595232093341496,1003.0,18.3583,,,
140,140,1,Timesweep,30.791,55.873,0.4489109229860576,1020.0,18.5,,,
141,141,1,Timesweep,30.812,55.747,0.44728864333506735,1037.0,18.6417,,,
142,142,1,Timesweep,30.476,55.477,0.45065522649025724,1054.0,18.7833,,,
143,143,1,Timesweep,30.18,55.259,0.45384462259541436,1071.0,18.925,,,
144,144,1,Timesweep,30.01,55.637,0.4606107446483455,1088.0,19.0667,,,
145,145,1,Timesweep,29.823,55.526,0.46290026293988407,1105.0,19.2083,,,
146,146,1,Timesweep,30.271,55.344,0.4530391731714368,1122.0,19.35,8420.0,8497.0,1.009
147,147,1,Timesweep,29.857,55.564,0.46265567633719673,1139.0,19.4917,,,
148,148,1,Timesweep,30.019,55.329,0.45744546259646846,1156.0,19.6333,,,
149,149,1,Timesweep,30.062,55.32,0.4565798987707881,1173.0,19.775,,,
150,150,1,Timesweep,30.327,55.791,0.45641770177985685,1190.0,19.9167,,,
